Player Name,Position,Team,NFL ADP
Christian McCaffrey, SF,RB ,1.24
CeeDee Lamb, DAL,WR ,2.82
Tyreek Hill, MIA,WR ,3.09
Ja'Marr Chase, CIN,WR ,5.41
Amon-Ra St. Brown, DET,WR ,6.05
Justin Jefferson, MIN,WR ,6.23
Breece Hall, NYJ,RB ,7.68
Bijan Robinson, ATL,RB ,8.71
A.J. Brown, PHI,WR ,10.32
Saquon Barkley, PHI,RB ,11.89
Puka Nacua, LAR,WR ,12.31
Jonathan Taylor, IND,RB ,14.07
Garrett Wilson, NYJ,WR ,14.89
Jahmyr Gibbs, DET,RB ,15.37
Marvin Harrison Jr., ARI,WR ,17.90
Derrick Henry, BAL,RB ,18.03
Kyren Williams, LAR,RB ,20.85
Davante Adams, LV,WR ,20.90
Isiah Pacheco, KC,RB ,21.00
Travis Etienne, JAX,RB ,23.69
Drake London, ATL,WR ,23.90
Brandon Aiyuk, SF,WR ,25.08
Travis Kelce, KC,TE ,26.26
Patrick Mahomes, KC,QB ,26.90
Mike Evans, TB,WR ,28.53
Cooper Kupp, LAR,WR ,28.95
Josh Allen, BUF,QB ,29.53
Chris Olave, NO,WR ,31.18
Deebo Samuel Sr., SF,WR ,31.34
De'Von Achane, MIA,RB ,31.36
Nico Collins, HOU,WR ,31.63
Rachaad White, TB,RB ,32.69
Sam LaPorta, DET,TE ,32.93
Michael Pittman, IND,WR ,36.26
Jalen Hurts, PHI,QB ,36.86
Lamar Jackson, BAL,QB ,37.05
DeVonta Smith, PHI,WR ,39.11
Trey McBride, ARI,TE ,39.65
Josh Jacobs, GB,RB ,39.97
James Cook, BUF,RB ,40.31
Jaylen Waddle, MIA,WR ,42.10
Kenneth Walker III, SEA,RB ,43.44
Mark Andrews, BAL,TE ,44.41
C.J. Stroud, HOU,QB ,46.15
Stefon Diggs, HOU,WR ,47.44
DK Metcalf, SEA,WR ,47.46
Joe Mixon, HOU,RB ,47.48
Amari Cooper, CLE,WR ,49.08
