TeamName,OwnerID,OpponentName,OpponentID,TeamScore,OpponentScore,Week,Year
Jody,271999,Dajuan,276726,155.28,83.30,17,2022
Waso,378644,John,793573,104.78,85.48,17,2022
Andreas,1088807,Rochas,2012141,123.84,120.40,17,2022
romain,1360516,Tomas,5892024,133.12,95.32,17,2022
Lorenzo,2017413,Michael,7611079,87.64,84.08,17,2022
Matt,3190107,LUCIAN,7582304,131.76,72.26,17,2022
Mikell,6014430,grady,17510577,89.32,58.78,17,2022
Francesco,10808626,Ignacio,12608269,154.00,71.50,17,2022
Jody,271999,John,793573,160.54,108.90,16,2022
Dajuan,276726,Waso,378644,116.12,82.54,16,2022
Andreas,1088807,Michael,7611079,96.86,110.76,16,2022
romain,1360516,Francesco,10808626,117.36,172.36,16,2022
Rochas,2012141,Lorenzo,2017413,87.80,104.12,16,2022
Matt,3190107,grady,17510577,90.92,86.94,16,2022
Tomas,5892024,Ignacio,12608269,109.46,144.48,16,2022
Mikell,6014430,LUCIAN,7582304,117.96,120.92,16,2022
Jody,271999,romain,1360516,119.68,149.86,15,2022
Dajuan,276726,Tomas,5892024,147.78,152.72,15,2022
Waso,378644,Ignacio,12608269,99.12,135.10,15,2022
John,793573,Francesco,10808626,87.52,163.38,15,2022
Andreas,1088807,Matt,3190107,70.54,143.58,15,2022
Rochas,2012141,Mikell,6014430,79.60,106.54,15,2022
Lorenzo,2017413,LUCIAN,7582304,84.02,162.44,15,2022
Michael,7611079,grady,17510577,109.52,171.02,15,2022
Jody,271999,Lorenzo,2017413,91.70,78.38,14,2022
Dajuan,276726,Rochas,2012141,125.40,72.58,14,2022
Waso,378644,romain,1360516,122.38,170.54,14,2022
John,793573,LUCIAN,7582304,103.90,122.18,14,2022
Andreas,1088807,Michael,7611079,77.20,132.92,14,2022
Matt,3190107,Francesco,10808626,77.18,161.26,14,2022
Tomas,5892024,Mikell,6014430,97.38,124.28,14,2022
Ignacio,12608269,grady,17510577,140.96,136.84,14,2022
Jody,271999,Francesco,10808626,122.64,109.86,13,2022
Dajuan,276726,Lorenzo,2017413,116.68,107.08,13,2022
Waso,378644,Mikell,6014430,116.20,147.02,13,2022
John,793573,Rochas,2012141,83.32,154.38,13,2022
Andreas,1088807,grady,17510577,142.98,102.80,13,2022
romain,1360516,Tomas,5892024,90.54,151.00,13,2022
Matt,3190107,LUCIAN,7582304,96.66,107.72,13,2022
Michael,7611079,Ignacio,12608269,105.36,190.54,13,2022
Jody,271999,Dajuan,276726,120.34,122.98,12,2022
Waso,378644,Francesco,10808626,154.32,154.30,12,2022
John,793573,Michael,7611079,135.02,110.74,12,2022
Andreas,1088807,Tomas,5892024,150.00,122.72,12,2022
romain,1360516,grady,17510577,138.62,105.94,12,2022
Rochas,2012141,Matt,3190107,89.08,87.64,12,2022
Lorenzo,2017413,LUCIAN,7582304,107.86,116.74,12,2022
Mikell,6014430,Ignacio,12608269,123.90,146.20,12,2022
Jody,271999,Matt,3190107,127.98,122.40,11,2022
Dajuan,276726,romain,1360516,108.06,90.52,11,2022
Waso,378644,grady,17510577,154.48,165.24,11,2022
John,793573,Mikell,6014430,107.26,105.76,11,2022
Andreas,1088807,LUCIAN,7582304,126.64,98.04,11,2022
Rochas,2012141,Ignacio,12608269,79.10,161.50,11,2022
Lorenzo,2017413,Michael,7611079,111.46,129.64,11,2022
Tomas,5892024,Francesco,10808626,96.30,119.62,11,2022
Jody,271999,LUCIAN,7582304,162.82,79.80,10,2022
Dajuan,276726,Andreas,1088807,88.18,111.72,10,2022
Waso,378644,Ignacio,12608269,103.04,167.00,10,2022
John,793573,Rochas,2012141,102.30,112.80,10,2022
romain,1360516,Mikell,6014430,152.10,103.80,10,2022
Lorenzo,2017413,grady,17510577,132.88,152.50,10,2022
Matt,3190107,Michael,7611079,112.12,106.06,10,2022
Tomas,5892024,Francesco,10808626,129.44,124.86,10,2022
Jody,271999,Rochas,2012141,87.90,79.26,9,2022
Dajuan,276726,Andreas,1088807,76.66,106.74,9,2022
Waso,378644,John,793573,144.08,135.52,9,2022
romain,1360516,Lorenzo,2017413,134.04,100.68,9,2022
Matt,3190107,Mikell,6014430,57.30,179.24,9,2022
Tomas,5892024,LUCIAN,7582304,98.12,126.50,9,2022
Michael,7611079,grady,17510577,99.80,117.08,9,2022
Francesco,10808626,Ignacio,12608269,148.52,71.34,9,2022
Jody,271999,Andreas,1088807,167.20,93.50,8,2022
Dajuan,276726,Waso,378644,110.58,153.32,8,2022
John,793573,romain,1360516,108.56,147.62,8,2022
Rochas,2012141,Tomas,5892024,123.84,126.40,8,2022
Lorenzo,2017413,Ignacio,12608269,109.38,137.98,8,2022
Matt,3190107,grady,17510577,119.66,114.90,8,2022
Mikell,6014430,Francesco,10808626,120.82,172.94,8,2022
LUCIAN,7582304,Michael,7611079,114.16,142.16,8,2022
Jody,271999,John,793573,108.30,82.52,7,2022
Dajuan,276726,Francesco,10808626,99.62,152.16,7,2022
Waso,378644,LUCIAN,7582304,96.08,74.12,7,2022
Andreas,1088807,Ignacio,12608269,127.66,113.04,7,2022
romain,1360516,Matt,3190107,149.64,102.68,7,2022
Rochas,2012141,Lorenzo,2017413,85.56,123.54,7,2022
Tomas,5892024,grady,17510577,137.98,127.36,7,2022
Mikell,6014430,Michael,7611079,133.04,138.60,7,2022
Jody,271999,Ignacio,12608269,119.72,125.90,6,2022
Dajuan,276726,John,793573,103.40,90.32,6,2022
Waso,378644,Tomas,5892024,108.92,128.70,6,2022
Andreas,1088807,romain,1360516,80.90,132.16,6,2022
Rochas,2012141,grady,17510577,77.48,106.48,6,2022
Lorenzo,2017413,Matt,3190107,74.36,86.64,6,2022
Mikell,6014430,LUCIAN,7582304,156.62,120.10,6,2022
Michael,7611079,Francesco,10808626,113.04,119.62,6,2022
Jody,271999,grady,17510577,166.06,150.96,5,2022
Dajuan,276726,Mikell,6014430,102.54,134.38,5,2022
Waso,378644,Ignacio,12608269,87.92,100.88,5,2022
John,793573,Lorenzo,2017413,130.12,109.06,5,2022
Andreas,1088807,Matt,3190107,134.38,103.98,5,2022
romain,1360516,Francesco,10808626,163.10,120.82,5,2022
Rochas,2012141,LUCIAN,7582304,108.16,139.86,5,2022
Tomas,5892024,Michael,7611079,171.16,112.30,5,2022
Jody,271999,Tomas,5892024,116.78,123.44,4,2022
Dajuan,276726,Matt,3190107,137.82,109.54,4,2022
Waso,378644,Lorenzo,2017413,156.80,107.56,4,2022
John,793573,Ignacio,12608269,162.60,98.88,4,2022
Andreas,1088807,Rochas,2012141,99.50,134.18,4,2022
romain,1360516,Michael,7611079,139.04,120.30,4,2022
Mikell,6014430,grady,17510577,100.66,127.52,4,2022
LUCIAN,7582304,Francesco,10808626,130.84,142.46,4,2022
Jody,271999,LUCIAN,7582304,118.56,150.10,3,2022
Dajuan,276726,Michael,7611079,134.50,114.66,3,2022
Waso,378644,Matt,3190107,120.18,81.22,3,2022
John,793573,Andreas,1088807,108.00,92.62,3,2022
romain,1360516,Ignacio,12608269,83.48,123.54,3,2022
Rochas,2012141,Mikell,6014430,151.86,103.56,3,2022
Lorenzo,2017413,Tomas,5892024,142.80,175.96,3,2022
Francesco,10808626,grady,17510577,131.06,108.78,3,2022
Jody,271999,Mikell,6014430,133.96,68.90,2,2022
Dajuan,276726,LUCIAN,7582304,149.74,103.88,2,2022
Waso,378644,Michael,7611079,182.76,121.20,2,2022
John,793573,Matt,3190107,140.00,121.36,2,2022
Andreas,1088807,Francesco,10808626,81.30,107.98,2,2022
romain,1360516,Rochas,2012141,146.74,90.60,2,2022
Lorenzo,2017413,grady,17510577,151.16,120.24,2,2022
Tomas,5892024,Ignacio,12608269,142.32,134.86,2,2022
Jody,271999,Michael,7611079,122.20,143.00,1,2022
Dajuan,276726,grady,17510577,123.74,98.26,1,2022
Waso,378644,Rochas,2012141,173.20,113.70,1,2022
John,793573,Francesco,10808626,140.06,99.40,1,2022
Andreas,1088807,Lorenzo,2017413,85.58,115.02,1,2022
romain,1360516,Mikell,6014430,120.70,125.80,1,2022
Matt,3190107,Tomas,5892024,114.30,130.62,1,2022
LUCIAN,7582304,Ignacio,12608269,118.78,125.82,1,2022
Jody,271999,Rochas,2012141,138.74,119.08,17,2021
Dajuan,276726,romain,1360516,156.80,63.00,17,2021
Waso,378644,John,793573,145.52,114.26,17,2021
Andreas,1088807,Michael,7611079,134.14,146.94,17,2021
Chris,1191284,Matt,3190107,159.40,173.80,17,2021
Lorenzo,2017413,Ignacio,12608269,96.30,111.22,17,2021
DB,2442650,Francesco,10808626,86.72,136.28,17,2021
Tomas,5892024,LUCIAN,7582304,92.50,92.72,17,2021
Jody,271999,Lorenzo,2017413,78.44,146.36,16,2021
Dajuan,276726,Chris,1191284,204.68,101.04,16,2021
Waso,378644,Andreas,1088807,115.18,136.90,16,2021
John,793573,Michael,7611079,109.86,139.22,16,2021
romain,1360516,Matt,3190107,140.60,71.80,16,2021
Rochas,2012141,Ignacio,12608269,91.34,91.60,16,2021
DB,2442650,LUCIAN,7582304,81.80,102.54,16,2021
Tomas,5892024,Francesco,10808626,155.16,92.20,16,2021
Jody,271999,Tomas,5892024,93.84,91.90,15,2021
Dajuan,276726,John,793573,67.36,125.90,15,2021
Waso,378644,Matt,3190107,148.60,142.26,15,2021
Andreas,1088807,romain,1360516,94.98,83.88,15,2021
Chris,1191284,Michael,7611079,97.64,170.40,15,2021
Rochas,2012141,LUCIAN,7582304,139.20,134.96,15,2021
Lorenzo,2017413,Francesco,10808626,147.60,68.04,15,2021
DB,2442650,Ignacio,12608269,93.62,105.98,15,2021
Jody,271999,John,793573,77.98,130.48,14,2021
